,t,pixelx,pixely
597,10.07,708.6051,299.8821
598,10.08667,710.7269,299.8821
599,10.10333,710.7269,299.8821
600,10.12,710.7269,297.7603
601,10.13667,710.7269,297.7603
602,10.15333,712.1415,297.7603
603,10.17,710.7269,297.7603
604,10.18667,710.0196,297.7603
605,10.20333,710.0196,297.053
606,10.22,710.0196,297.053
607,10.23667,707.1906,295.6385
608,10.25333,705.776,295.6385
609,10.27,705.0688,295.6385
610,10.28667,702.2397,294.9312
611,10.30333,700.8251,294.224
612,10.32,700.8251,294.224
613,10.33667,700.1179,292.1022
614,10.35333,699.4106,290.6876
615,10.37,697.9961,289.2731
616,10.38667,695.167,286.444
617,10.40333,693.7525,286.444
618,10.42,690.2161,286.444
619,10.43667,686.6798,286.444
620,10.45333,685.2652,287.1513
621,10.47,679.6071,287.1513
622,10.48667,679.6071,287.1513
623,10.50333,676.778,287.1513
624,10.52,674.6562,287.1513
625,10.53667,671.8271,287.8585
626,10.55333,671.1198,287.8585
627,10.57,665.4617,289.9804
628,10.58667,661.2181,293.5167
629,10.60333,660.5108,294.224
630,10.62,659.8035,297.7603
631,10.63667,659.8035,297.7603
632,10.65333,658.389,297.7603
633,10.67,657.6817,297.7603
634,10.68667,657.6817,296.3458
635,10.70333,657.6817,296.3458
636,10.72,654.1454,297.053
637,10.73667,654.1454,297.053
638,10.75333,651.3163,297.053
639,10.77,651.3163,297.053
640,10.78667,651.3163,296.3458
641,10.80333,651.3163,293.5167
642,10.82,651.3163,292.1022
643,10.83667,651.3163,292.1022
644,10.85333,650.609,292.1022
645,10.87,650.609,292.1022
646,10.88667,650.609,292.1022
647,10.90333,656.2672,292.1022
648,10.92,656.2672,292.1022
649,10.93667,656.2672,292.1022
650,10.95333,656.2672,292.1022
651,10.97,660.5108,294.9312
652,10.98667,661.2181,294.9312
653,11.00333,661.2181,294.9312
654,11.02,661.2181,294.9312
655,11.03667,661.2181,294.9312
656,11.05333,661.2181,294.9312
657,11.07,666.169,301.2967
658,11.08667,666.169,301.2967
659,11.10333,666.169,302.0039
660,11.12,666.169,302.0039
661,11.13667,666.169,302.0039
662,11.155,666.169,302.0039
663,11.17167,666.169,302.0039
664,11.18833,666.169,302.0039
665,11.205,666.169,302.0039
666,11.22167,666.169,302.0039
667,11.23833,666.169,302.0039
668,11.255,666.169,302.0039
669,11.27167,666.169,302.0039
670,11.28833,666.169,302.0039
671,11.305,666.169,302.0039
672,11.32167,666.169,302.0039
673,11.33833,664.0472,302.0039
674,11.355,664.0472,302.0039
675,11.37167,664.0472,302.0039
676,11.38833,664.0472,302.0039
677,11.405,655.5599,301.2967
678,11.42167,654.8527,301.2967
679,11.43833,652.0236,299.8821
680,11.455,652.0236,299.8821
681,11.47167,647.0727,299.8821
682,11.48833,644.2436,299.8821
683,11.505,639.2927,297.053
684,11.52167,637.1709,295.6385
685,11.53833,637.1709,295.6385
686,11.555,632.9273,291.3949
687,11.57167,630.0982,289.2731
688,11.58833,624.4401,287.8585
689,11.605,619.4892,285.0295
690,11.62167,616.6601,285.0295
691,11.63833,608.1729,283.6149
692,11.655,605.3438,282.9077
693,11.67167,602.5147,281.4931
694,11.68833,591.9057,280.0786
695,11.705,589.7839,278.664
696,11.72167,583.4185,271.5914
697,11.73833,587.6621,268.055
698,11.755,588.3694,265.2259
699,11.77167,590.4912,263.1041
700,11.78833,601.8075,256.0314
701,11.805,603.222,250.3733
702,11.82167,603.9293,249.666
703,11.83833,610.2947,251.7878
704,11.855,611.7092,251.7878
705,11.87167,623.7328,254.6169
706,11.88833,625.1473,254.6169
707,11.905,635.0491,259.5678
708,11.92167,640.0,260.275
709,11.93833,642.1218,260.275
710,11.955,647.0727,261.6896
711,11.97167,648.4872,261.6896
712,11.98833,652.7308,265.2259
713,12.005,663.3399,272.2986
714,12.02167,663.3399,272.2986
715,12.03833,668.998,272.2986
716,12.055,669.7053,271.5914
717,12.07167,669.7053,270.1768
718,12.08833,669.7053,270.1768
719,12.105,674.6562,265.9332
720,12.12167,674.6562,265.9332
721,12.13833,674.6562,265.9332
722,12.155,675.3635,265.9332
723,12.17167,675.3635,265.9332
724,12.18833,675.3635,265.9332
725,12.205,675.3635,265.9332
726,12.22167,675.3635,270.1768
727,12.23833,676.0707,275.1277
728,12.255,680.3143,275.1277
729,12.27167,688.0943,275.1277
730,12.28833,688.8016,275.1277
731,12.305,688.8016,275.1277
732,12.32167,688.8016,273.7132
733,12.33833,689.5088,273.0059
734,12.355,689.5088,273.0059
735,12.37167,690.2161,272.2986
736,12.38833,690.2161,271.5914
737,12.405,690.2161,270.8841
738,12.42167,690.2161,268.055
739,12.43833,697.9961,259.5678
740,12.455,699.4106,259.5678
741,12.47167,702.2397,258.8605
742,12.48833,703.6542,257.446
743,12.505,703.6542,256.0314
744,12.52167,703.6542,255.3242
745,12.53833,703.6542,255.3242
746,12.555,703.6542,255.3242
747,12.57167,703.6542,255.3242
748,12.58833,703.6542,253.9096
749,12.605,703.6542,253.9096
750,12.62167,703.6542,253.9096
751,12.63833,697.2888,251.7878
752,12.655,697.2888,251.0806
753,12.67167,697.2888,251.0806
754,12.68833,692.3379,251.0806
755,12.705,691.6306,251.0806
756,12.72167,691.6306,251.0806
